CustomerID,Churn_Probability
C00181,0.7758665268893279
C00012,0.7713866919053628
C00348,0.7280358835330141
C00385,0.7196581295581295
C00263,0.6942665722691812
C00077,0.6784027517792748
C00074,0.6299815116698524
C00324,0.623650926477065
C00125,0.5982967673236653
C00353,0.5715792853324339
C00174,0.5322182075132794
C00362,0.48809834363013516
C00334,0.4873469050683336
C00019,0.46190152477406693
C00091,0.43255302723830874
C00132,0.42617677695629985
C00278,0.32282406510904593
C00069,0.31048886250971275
C00337,0.30262914761007986
C00105,0.24101414418080389
C00456,0.214867834062956
C00407,0.20909608981365277
C00079,0.19323943175324254
C00001,0.13763814313070605
C00010,0.08745995527666976
C00047,0.08284913155949741
C00416,0.08233133316885541
C00071,0.04609186238291349
C00392,0.04163764466869231
C00073,0.03611118112579344
C00452,0.034075991635588075
C00083,0.03379682034511991
C00410,0.026591682616350552
C00492,0.024479242689631683
C00305,0.022737496242124466
C00378,0.022564953767017913
C00085,0.02246995113589776
C00318,0.022426160177465893
C00194,0.021435605573458905
C00498,0.020838682071031237
C00281,0.020725674666202502
C00389,0.020629319645251984
C00183,0.01712426749398434
C00239,0.01642027990656777
C00313,0.015910278745644598
C00484,0.015832044612450125
C00325,0.01565723834313442
C00040,0.015506568178951076
C00496,0.01535203979086992
C00478,0.015333512673362028
C00317,0.014028710209276691
C00149,0.013755348737697903
C00210,0.01343578894972623
C00205,0.013385334878329973
C00173,0.013364278960915892
C00212,0.01304952957205972
C00094,0.012055149845449285
C00195,0.011578984952422133
C00462,0.010301225545848771
C00080,0.009314806926632812
C00363,0.009173736828720266
C00432,0.008889885222381636
C00395,0.008885220150464052
C00291,0.008611618128266526
C00411,0.008180073274843746
C00102,0.0077093296668260805
C00156,0.007569839792381832
C00342,0.007121014579915488
C00372,0.006999999999999999
C00155,0.006606108549894129
C00466,0.00629835824018652
C00034,0.006222222222222223
C00016,0.005703852910796384
C00078,0.005453929539295394
C00070,0.00540712769625184
C00451,0.0053955335992918905
C00495,0.0051925103980296995
C00064,0.0047509814432339535
C00186,0.0044989410995508565
C00382,0.00446027913502667
C00031,0.004400668775668776
C00409,0.004011136221502076
C00473,0.003957455704536891
C00375,0.003909358615240968
C00486,0.0037081059184717723
C00357,0.003223851480787988
C00441,0.0029287930227952156
C00279,0.0025331779053084647
C00056,0.0022439024390243905
C00003,0.0021272920369326802
C00076,0.0020886820710312366
C00439,0.001932234432234432
C00269,0.001882726819541376
C00491,0.001856627918442475
C00335,0.0016787319905129383
C00087,0.00125
C00322,0.001088235294117647
C00023,0.001039056742815033
C00476,0.0010016292585657662
C00415,0.0008321377331420374
